Jahrgang;Jahrgangsband ID;Titel des Kapitels Einwohnerverzeichnis;Kapitel ID;
1900;1704646;VIII. Alphabetisches Verzeichnis d. ständigen Einwohner;3602885;
1901-1902;25803070;VIII. Alphabetisches Verzeichnis der ständigen Einwohner;26059613;
1902-1903;25803798;VIII. Alphabetisches Verzeichnis der ständigen Einwohner;26059642;
1903-1904;25713372;VIII. Alphabetisches Verzeichnis der ständigen Einwohner;25726009;
1904-1905;25799354;VIII. Alphabetisches Verzeichnis der ständigen Einwohner;25802784;
1905-1906;25804490;VIII. Alphabetisches Verzeichnis der ständigen Einwohner;26059684;
1906-1907;25805191;VIII. Alphabetisches Verzeichnis der ständigen Einwohner;26059713;
1907-1908;25805890;VIII. Alphabetisches Verzeichnis der ständigen Einwohner;26059737;
1908-1909;25806595;VIII. Alphabetisches Verzeichnis der ständigen Einwohner;26059762;
1909-1910;25807290;VII. Alphabetisches Verzeichnis der ständigen Einwohner;26059784;
1910-1911;25874637;VII. Alphabetisches Verzeichnis der ständigen Einwohner;26081658;
1911-1912;25875391;VII. Alphabetisches Verzeichnis der ständigen Einwohner;26081679;
1912-1913;25876195;VII. Alphabetisches Verzeichnis der ständigen Einwohner;26081703;
1914;25877011;VII. Alphabetisches Verzeichnis der ständigen Einwohner;26081723;
1915-1916;25877856;VII. Alphabetisches Verzeichnis der ständigen Einwohner;26081750;
1917;25878704;XIII. Alphabetisches Verzeichnis der ständigen Einwohner;26109036;
1918;25879396;XIII. Alphabetisches Verzeichnis der ständigen Einwohner;26109069;
1919;25880102;XIII. Alphabetisches Verzeichnis der ständigen Einwohner.;26109117;
1920;25880879;XIII. Alphabetisches Verzeichnis der ständigen Einwohner.;26109158;
1921;25900673;XIII. Alphabetisches Verzeichnis der ständigen Einwohner.;26109204;
1922;25901484;XIII. Alphabetisches Verzeichnis der ständigen Einwohner.;26110323;
1923;25902309;XIII. Alphabetisches Verzeichnis der ständigen Einwohner.;26110358;
1924;25903172;XIII. Alphabetisches Verzeichnis der ständigen Einwohner.;26110410;
1925;25904055;XIII. Alphabetisches Verzeichnis der ständigen Einwohner.;26110494;
1926;25904966;XIII. Alphabetisches Verzeichnis der ständigen Einwohner.;26110565;
1927;25905868;XIII. Alphabetisches Verzeichnis der ständigen Einwohner.;26110609;
1928;25906787;XIII. Alphabetisches Verzeichnis der ständigen Einwohner.;26110645;
1929;25907718;XIII. Alphabetisches Verzeichnis der ständigen Einwohner.;26110687;
1930;26012591;XIII. Alphabetisches Verzeichnis der ständigen Einwohner.;26110847;
1931;26013585;Alphabetisches Verzeichnis der ständigen Einwohner;26134471;
1932;26014702;Alphabetisches Verzeichnis der ständigen Einwohner;26134515;
1933;26015866;Alphabetisches Verzeichnis der ständigen Einwohner;26134553;
1934;26017217;Alphabetisches Verzeichnis der ständigen Einwohner;26140036;
1935;26018617;Alphabetisches Verzeichnis der ständigen Einwohner;26140095;
1936;26020030;Alphabetisches Verzeichnis der ständigen Einwohner;26140136;
1937;26021468;Alphabetisches Verzeichnis der ständigen Einwohner von Bern;26140299;
1937;26021468;Alphabetisches Verzeichnis der ständigen Einwohner von Bümpliz;26140300;
1938;26023017;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern;26140328;
1938;26023017;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz;26140330;
1939;26024601;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern;26140378;
1939;26024601;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz;26140379;
1940;26026177;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern;26140412;
1940;26026177;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz;26140413;
1941;26027816;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern;26140522;
1941;26027816;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz;26140524;
1942;26029473;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern;26140602;
1942;26029473;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz;26140603;
1943;26031163;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern;26140683;
1943;26031163;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz;26140685;
1944;26032914;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern;26140719;
1944;26032914;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz;26140733;
1945;26034710;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie der Stadt Bern;26163699;
1945;26034710;Alphabetisches Verzeichnis der ständigen Einwohner und Firmen von Handel, Gewerbe und Industrie von Bümpliz;26163721;
