Name,WikidataID
'Abd al-Hamid,Q13422873
'Abd al-Majid,Q479670
'Abd al-Maŷīd,Q479670
'Abd al-Qahir,Q108892897
'Ahdi,Q111395963
'Efrayim,Q29038907
'El'azar,Q56446587
(El Az) Marco Antonio,Q53661007
-ette,Q22677164
==)à,Q19002866
A,Q96186466
A,Q20065432
A'Lee,Q61919972
A'Lelia,Q98194399
A'idah,Q116365989
A'isha,Q3607213
A'ishah,Q116365999
A'ja,Q85286783
A'shadieeyah,Q116366104
A-Jay,Q72007041
A-hyeon,Q69509815
A-in,Q69509127
A-jeong,Q69513154
A-jin,Q69513537
A-jung,Q104638122
A-mi,Q69511455
A-ra,Q69507230
A-ram,Q69510760
A-ran,Q69510857
A-rang,Q69509833
A-reum,Q16479484
A-ri,Q104611251
A-rin,Q69511446
A-rum,Q16479484
A-seong,Q69509436
A-yeon,Q69513128
A-yeong,Q69507224
A.,Q19803442
A. (латиница),Q19803442
A. J.,Q108334440
AEgileif,Q16419107
AEsa,Q16419130
AEsgerdur,Q16419133
AEthelflaed,Q55529958
AJ,Q26849007
ANKAMMA,Q4765952
Aa'idah,Q116365910
Aaban,Q116363976
Aabha,Q47531033
Aabidah,Q116365902
Aabirah,Q116365903
Aabish,Q116365904
Aad,Q300770
Aada,Q65264044
Aadhi,Q114354808
Aadil,Q96476141
Aadila,Q98651203
Aadita,Q98321930
Aaditi,Q108819213
Aaditya,Q106204293
Aado,Q101784644
Aadolf,Q300777
Aadu,Q300780
Aadya,Q20001060
Aaeedah,Q116365905
Aaeesha,Q116365906
Aaf,Q20830279
Aaffien,Q21144078
Aaffiena,Q21147376
Aafiya,Q116363977
Aafje,Q383552
Aafke,Q2171649
Aafreeda,Q116365908
Aafreen,Q116365909
Aaftje,Q21147378
Aag,Q21147379
Aage,Q8736877
Aagie,Q21146338
Aagje,Q300804
Aagny,Q89990228
Aagot,Q3482557
Aagtje,Q21143673
Aahana,Q116054734
Aahil,Q116363979
Aaike,Q111203023
Aaja,Q93242623
Aake,Q16157880
Aakifah,Q116365911
Aala,Q116365912
Aalam,Q116363980
Aalbarta,Q112133515
Aalberdina,Q21142964
Aalbert,Q21141974
Aalberta,Q21143276
Aalbertha,Q21147380
Aalbertje,Q21142965
Aalbertus,Q21142125
Aalbrecht,Q21147381
Aalbregt,Q21147383
Aaldert,Q21142438
Aale,Q300872
Aalee,Q116363981
Aaleyah,Q116365913
Aalia,Q9294805
Aalimah,Q116365915
Aaliyah,Q111911843
Aaliyah,Q300907
Aaliz,Q104068403
Aalje,Q20801719
Aallotar,Q9294745
Aalt,Q21147385
Aaltien,Q21145528
Aaltina,Q26468337
Aaltje,Q12269582
Aaltjen,Q21146341
Aaltjo,Q112133600
Aalviar,Q55738519
Aaly,Q112748387
Aalzen,Q112133603
Aamaal,Q116365916
Aamanee,Q116365917
Aamer,Q79352876
Aamil,Q116363982
Aamilah,Q116365918
Aamina,Q79353732
